OBJECTID,OBJECTID,Onstreet,Atstreet,x,y,Month,Bridge_ID,DirFrom,LocationID,PkHrVol,Max24HrDay,PkHrDay,PkHrTime,PkHrAMPM,Month2,AWT,Max24HrVol,YearTxt,Year,created_user,created_date,last_edited_user,last_edited_date,GlobalID,x2,y2
1,1,Adams Ave,Ballas Rd,837675.7928155,1000059.31884732,12,,W,1,580,Thu,Thu,0.125,PM,December,5940,6200,2023,2023,lhale_stlcogis3,44748.6141215856,lhale_stlcogis3,44748.6141215856,{86D0B0FF-547E-4646-9B5A-2480ED091B3F},837675.792815495,1000059.31884732
2,1,Adams Ave,Ballas Rd,837675.7928155,1000059.31884732,10, , ,1,592,Thu,Thu,5:00,PM,October,5850,6018,2013,2013,,,HY4TCF,45275.9079513889,{B733B228-CC1D-4346-A128-CA17AE8E6EA4},837675.792815495,1000059.31884732
3,2,Adams Ave,Geyer Rd,844460.51513841,1001309.31897199,10, ,E,2,669,Wed,Wed,5:00,PM,October,6670,7023,2013,2013,,,HY4TCF,45275.9079513889,{459FA4A0-4EBC-41AF-B98C-428CE3A95CB7},844460.515138414,1001309.31897199
4,2,Adams Ave,Geyer Rd,846759.12602675,1001246.81909699,11,,E,2,670,Fri,Fri,5:00,PM,November,6740,7000,2023,2023,lhale_stlcogis3,44748.6141215856,lhale_stlcogis3,44748.6141215856,{EBA9D0D4-1011-4C12-8519-720D7C338E5F},846759.126026746,1001246.81909699
5,3,Adams Ave,Geyer Rd,844460.51513841,1001309.31897199,11,,W,3,700,Fri,Tues,5:00,PM,November,7160,7350,2023,2023,lhale_stlcogis3,44748.6141215856,lhale_stlcogis3,44748.6141215856,{13ECE02D-148E-486E-8A2B-94F49CDE0ACF},844460.515138414,1001309.31897199
6,3,Adams Ave,Geyer Rd,844266.07064541,1001309.31897199,11, ,W,3,709,Thu,Thu,5:00,PM,November,6430,7068,2013,2013,,,HY4TCF,45275.9079513889,{C69AA1FA-4D9E-44E4-B88C-0F28F0316D2A},844266.070645411,1001309.31897199
7,4,Adams Ave,Kirkwood Rd,847127.18172108,1001225.98580533,11, ,E,4,710,Thu,Tue,4:00,PM,November,7490,7835,2013,2013,,,HY4TCF,45275.9079513889,{D36D3463-5AAC-420D-A45C-A6B123054BB4},847127.18172108,1001225.98580533
8,4,Adams Ave,Kirkwood Rd,847127.18172108,1001225.98580533,11,,E,4,710,Thu,Tue,4:00,PM,November,7490,7835,2013,2013,lhale_stlcogis3,44748.6141215856,lhale_stlcogis3,44748.6141215856,{346FAF38-60F2-43D8-AE1C-11BC796A2461},847127.18172108,1001225.98580533
9,5,Adams Ave,Kirkwood Rd,846759.12602675,1001246.81909699,11, ,W,5,666,Thu,Fri,5:00,PM,November,6360,6736,2013,2013,,,HY4TCF,45275.9079513889,{CC605AED-8150-4DE4-9666-68B37523D95E},846759.126026746,1001246.81909699
10,5,Adams Ave,Kirkwood Rd,847127.18172108,1001225.98580533,11,,W,5,730,Fri,Wedn,0.125,PM,November,6290,6960,2023,2023,lhale_stlcogis3,44748.6141215856,lhale_stlcogis3,44748.6141215856,{9BC4B9DD-698A-49AC-81F3-D946A7FC98D2},847127.18172108,1001225.98580533
11,6,Adie Rd,Dorsett Rd,844661.64334508,1047012.74790616,7, ,N,6,151,Thu,Thu,7:00,AM,July,1580,748,2013,2013,,,HY4TCF,45275.9079513889,{311CC7F1-B07A-4B80-A608-E1F99B3F2669},844661.64334508,1047012.74790616
12,7,Adie Rd,Lindbergh Blvd,846471.53933158,1047773.16436432,7, ,E,7,83,Thu,Thu,4:00,PM,July,720,748,2013,2013,,,HY4TCF,45275.9079513889,{5B0F109D-BC68-49D8-8BCA-A59743E58EE5},846471.539331578,1047773.16436432
